     total        self    children       calls  method
     -----        ----    --------       -----  ------
     21.36       10.61       10.75           1  DS.run
      9.02        0.36        8.66     1000000  InvNode#CalcDS
      8.66        8.66        0.00     1000000  DS.CalcDS
      1.72        0.35        1.37     1000015  Class#new
      1.34        1.24        0.10     1000000  InvNode#initialize
      0.89        0.05        0.85          64  Kernel.require
      0.60        0.13        0.47          14  Kernel.load
      0.43        0.00        0.43          18  Kernel.require
      0.12        0.12        0.01          30  JavaUtilities.get_proxy_or_package_under_package
      0.10        0.10        0.00     1000003  BasicObject#initialize
      0.05        0.00        0.04           6  Java::OrgJruby.method_missing
      0.05        0.05        0.00         267  Class#inherited
      0.03        0.03        0.00           1  Time.now
      0.03        0.03        0.00           4  Float#to_s
      0.03        0.01        0.02           7  Array#each
      0.02        0.00        0.02           1  Java::OrgJrubyCompilerImpl.method_missing
      0.02        0.02        0.00           2  Array#initialize
      0.01        0.00        0.01          61  Object.method_added
      0.01        0.00        0.01           1  Win32API#initialize
      0.01        0.00        0.01           1  Java::OrgJrubyOrgObjectwebAsmUtil.method_missing
      0.01        0.01        0.00          48  Module#initialize_copy
      0.01        0.00        0.01           5  Java::Java.method_missing
      0.01        0.00        0.01         127  Object.method_added
      0.01        0.01        0.00           1  FFI::Function.new
      0.01        0.01        0.00         185  String#=~
      0.01        0.00        0.00          30  Module#module_eval
      0.01        0.00        0.01           2  Java::OrgJrubyOrgObjectwebAsm.method_missing
      0.01        0.00        0.01           1  Module#attr
      0.01        0.01        0.00           1  Win32API(singleton)#call
      0.01        0.00        0.01           2  Java::OrgJrubyCompiler.method_missing
      0.01        0.00        0.01           1  Java::OrgJrubyRuntime.method_missing
      0.00        0.00        0.00          25  Gem::Deprecate.deprecate
      0.00        0.00        0.00          17  Module#include
      0.00        0.00        0.00           1  Java::OrgJrubyLexerYacc.method_missing
      0.00        0.00        0.00         313  Kernel.respond_to?
      0.00        0.00        0.00           2  Java::JavaIo.method_missing
      0.00        0.00        0.00           2  Java::Org.method_missing
      0.00        0.00        0.00           1  Hash#reject
      0.00        0.00        0.00           4  Module#module_function
      0.00        0.00        0.00          27  JavaUtilities.get_package_module_dot_format
      0.00        0.00        0.00          32  Module#attr_accessor
      0.00        0.00        0.00          86  Module#alias_method
      0.00        0.00        0.00           2  JavaInterfaceTemplate.append_features
      0.00        0.00        0.00          90  BasicObject#!=
      0.00        0.00        0.00          18  Kernel.java
      0.00        0.00        0.00           1  Java::JavaUtil.method_missing
      0.00        0.00        0.00           2  Gem::Requirement.default
      0.00        0.00        0.00           2  Gem::Requirement#initialize
      0.00        0.00        0.00           9  Kernel.org
      0.00        0.00        0.00          15  Module#private
